MaThuoc,TenThuoc,TenThuocKhongDau,DonVi,DonGia
T00070,Prednisolone 5 mg (Mekophar - Lot 653),Prednisolone 5 mg (Mekophar - Lot 653),Chai,232270
T00071,Amoxicillin 500 mg (Mekophar - Lot 764),Amoxicillin 500 mg (Mekophar - Lot 764),Gói,286150
T00072,Losartan 5 mg (Viên nén - Lot 395),Losartan 5 mg (Vien nen - Lot 395),Hộp,172460
T00073,Cefuroxim 10 mg (Mekophar - Lot 639),Cefuroxim 10 mg (Mekophar - Lot 639),Viên nang,180770
T00074,Losartan 100 mg (Mekophar - Lot 536),Losartan 100 mg (Mekophar - Lot 536),Viên nén,170230
T00075,Furosemide 500 mg (Viên nén - Lot 787),Furosemide 500 mg (Vien nen - Lot 787),Gói,302140
T00076,Captopril 100 mg (Stada - Lot 870),Captopril 100 mg (Stada - Lot 870),Viên nang,358900
T00077,Paracetamol 500 mg (Viên nén - Lot 873),Paracetamol 500 mg (Vien nen - Lot 873),Viên nang,378220
T00078,Levothyroxine 5 ml (Viên nén - Lot 736),Levothyroxine 5 ml (Vien nen - Lot 736),Viên nang,434520
T00079,Amoxicillin 500 mg (Viên nén - Lot 691),Amoxicillin 500 mg (Vien nen - Lot 691),Gói,481600
T00080,Pantoprazole 5 ml (Stada - Lot 952),Pantoprazole 5 ml (Stada - Lot 952),Hộp,489410
T00081,Diazepam 5 mg (Mekophar - Lot 809),Diazepam 5 mg (Mekophar - Lot 809),Viên nang,243780
T00082,Pantoprazole 5 mg (Viên nén - Lot 626),Pantoprazole 5 mg (Vien nen - Lot 626),Gói,323600
T00083,Doxycycline 500 mg (Mekophar - Lot 338),Doxycycline 500 mg (Mekophar - Lot 338),Viên nang,329940
T00084,Pantoprazole 250 mg (Mekophar - Lot 912),Pantoprazole 250 mg (Mekophar - Lot 912),Viên nén,465300
T00085,Metformin 250 mg (Mekophar - Lot 943),Metformin 250 mg (Mekophar - Lot 943),Gói,149870
T00086,Vitamin C 250 mg (Domesco - Lot 610),Vitamin C 250 mg (Domesco - Lot 610),Chai,276300
T00087,Losartan 500 mg (Mekophar - Lot 405),Losartan 500 mg (Mekophar - Lot 405),Hộp,413190
T00088,Cefuroxim 5 mg (Domesco - Lot 739),Cefuroxim 5 mg (Domesco - Lot 739),Chai,397530
T00089,Hạ Sốt 5 mg (Viên nén - Lot 315),Ha Sot 5 mg (Vien nen - Lot 315),Gói,479970
T00090,Vitamin C 5 ml (Stada - Lot 534),Vitamin C 5 ml (Stada - Lot 534),Gói,334970
T00091,Cefuroxim 5 ml (Domesco - Lot 315),Cefuroxim 5 ml (Domesco - Lot 315),Ống tiêm,342620
T00092,Pantoprazole 5 mg (Stada - Lot 627),Pantoprazole 5 mg (Stada - Lot 627),Tuýp,353610
T00093,Fluconazole 5 ml (Viên nén - Lot 252),Fluconazole 5 ml (Vien nen - Lot 252),Tuýp,416400
T00094,Paracetamol 250 mg (Stada - Lot 119),Paracetamol 250 mg (Stada - Lot 119),Gói,13990
T00095,Cefuroxim 100 mg (Stada - Lot 609),Cefuroxim 100 mg (Stada - Lot 609),Tuýp,336020
T00096,Paracetamol 250 mg (Domesco - Lot 459),Paracetamol 250 mg (Domesco - Lot 459),Chai,251240
T00097,Pantoprazole 500 mg (Viên nén - Lot 544),Pantoprazole 500 mg (Vien nen - Lot 544),Ống tiêm,101400
T00098,Omeprazole 500 mg (Domesco - Lot 672),Omeprazole 500 mg (Domesco - Lot 672),Tuýp,381160
T00099,Cefuroxim 500 mg (Viên nén - Lot 340),Cefuroxim 500 mg (Vien nen - Lot 340),Hộp,344870
T00100,Doxycycline 10 mg (Mekophar - Lot 159),Doxycycline 10 mg (Mekophar - Lot 159),Chai,84280
T00101,Omeprazole 100 mg (Domesco - Lot 357),Omeprazole 100 mg (Domesco - Lot 357),Chai,183260
T00102,Pantoprazole 10 mg (Viên nén - Lot 912),Pantoprazole 10 mg (Vien nen - Lot 912),Ống tiêm,237950
T00103,Amoxicillin 100 mg (Stada - Lot 244),Amoxicillin 100 mg (Stada - Lot 244),Gói,97720
T00104,Levothyroxine 250 mg (Mekophar - Lot 644),Levothyroxine 250 mg (Mekophar - Lot 644),Viên nén,109310
T00105,Diazepam 500 mg (Mekophar - Lot 960),Diazepam 500 mg (Mekophar - Lot 960),Chai,56990
T00106,Losartan 500 mg (Mekophar - Lot 579),Losartan 500 mg (Mekophar - Lot 579),Viên nén,256410
T00107,Doxycycline 1000 IU (Domesco - Lot 878),Doxycycline 1000 IU (Domesco - Lot 878),Viên nang,393860
T00108,Giảm Đau 1000 IU (Stada - Lot 377),Giam Dau 1000 IU (Stada - Lot 377),Gói,304160
T00109,Omeprazole 1000 IU (Mekophar - Lot 898),Omeprazole 1000 IU (Mekophar - Lot 898),Viên nang,288300
T00110,Doxycycline 100 mg (Mekophar - Lot 671),Doxycycline 100 mg (Mekophar - Lot 671),Viên nang,340670
T00111,Loratadine 5 mg (Domesco - Lot 758),Loratadine 5 mg (Domesco - Lot 758),Viên nang,308400
T00112,Furosemide 10 mg (Mekophar - Lot 399),Furosemide 10 mg (Mekophar - Lot 399),Hộp,241950
T00113,Diclofenac 100 mg (Mekophar - Lot 884),Diclofenac 100 mg (Mekophar - Lot 884),Gói,283710
T00114,Levothyroxine 250 mg (Domesco - Lot 756),Levothyroxine 250 mg (Domesco - Lot 756),Hộp,157330
T00115,Furosemide 100 mg (Mekophar - Lot 586),Furosemide 100 mg (Mekophar - Lot 586),Ống tiêm,419070
T00116,Prednisolone 1000 IU (Viên nén - Lot 502),Prednisolone 1000 IU (Vien nen - Lot 502),Viên nén,381650
T00117,Atorvastatin 500 mg (Mekophar - Lot 555),Atorvastatin 500 mg (Mekophar - Lot 555),Viên nén,239780
T00118,Ibuprofen 5 ml (Stada - Lot 121),Ibuprofen 5 ml (Stada - Lot 121),Hộp,132550
T00119,Chống Viêm 10 mg (Viên nén - Lot 443),Chong Viem 10 mg (Vien nen - Lot 443),Ống tiêm,144870
T00120,Loratadine 250 mg (Mekophar - Lot 703),Loratadine 250 mg (Mekophar - Lot 703),Viên nén,230820
T00121,Prednisolone 5 mg (Stada - Lot 563),Prednisolone 5 mg (Stada - Lot 563),Hộp,493950
T00122,Omeprazole 250 mg (Mekophar - Lot 877),Omeprazole 250 mg (Mekophar - Lot 877),Ống tiêm,339210
T00123,Metformin 5 mg (Stada - Lot 740),Metformin 5 mg (Stada - Lot 740),Viên nén,83490
T00124,Diclofenac 250 mg (Stada - Lot 808),Diclofenac 250 mg (Stada - Lot 808),Chai,271320
T00125,Furosemide 100 mg (Mekophar - Lot 354),Furosemide 100 mg (Mekophar - Lot 354),Viên nang,264330
T00126,Doxycycline 100 mg (Domesco - Lot 606),Doxycycline 100 mg (Domesco - Lot 606),Chai,234910
T00127,Doxycycline 5 mg (Domesco - Lot 912),Doxycycline 5 mg (Domesco - Lot 912),Viên nang,243340
T00128,Loratadine 5 ml (Domesco - Lot 323),Loratadine 5 ml (Domesco - Lot 323),Viên nén,16060
T00129,Levothyroxine 250 mg (Viên nén - Lot 843),Levothyroxine 250 mg (Vien nen - Lot 843),Gói,158140
T00130,Loratadine 10 mg (Domesco - Lot 298),Loratadine 10 mg (Domesco - Lot 298),Ống tiêm,118640
T00131,Doxycycline 1000 IU (Mekophar - Lot 808),Doxycycline 1000 IU (Mekophar - Lot 808),Chai,85790
T00132,Pantoprazole 10 mg (Mekophar - Lot 451),Pantoprazole 10 mg (Mekophar - Lot 451),Chai,357120
T00133,Giảm Đau 5 mg (Domesco - Lot 128),Giam Dau 5 mg (Domesco - Lot 128),Viên nang,60490
T00134,Vitamin C 5 mg (Stada - Lot 994),Vitamin C 5 mg (Stada - Lot 994),Chai,313730
T00135,Omeprazole 5 mg (Stada - Lot 172),Omeprazole 5 mg (Stada - Lot 172),Gói,214890
T00136,Ibuprofen 10 mg (Domesco - Lot 494),Ibuprofen 10 mg (Domesco - Lot 494),Ống tiêm,141170
T00137,Paracetamol 100 mg (Viên nén - Lot 422),Paracetamol 100 mg (Vien nen - Lot 422),Tuýp,111920
T00138,Metformin 1000 IU (Stada - Lot 629),Metformin 1000 IU (Stada - Lot 629),Gói,390000
T00139,Cefuroxim 1000 IU (Mekophar - Lot 516),Cefuroxim 1000 IU (Mekophar - Lot 516),Tuýp,74780
T00140,Doxycycline 500 mg (Viên nén - Lot 346),Doxycycline 500 mg (Vien nen - Lot 346),Gói,201040
T00141,Losartan 100 mg (Viên nén - Lot 530),Losartan 100 mg (Vien nen - Lot 530),Chai,343400
T00142,Cefuroxim 5 mg (Mekophar - Lot 930),Cefuroxim 5 mg (Mekophar - Lot 930),Chai,184210
T00143,Doxycycline 500 mg (Stada - Lot 792),Doxycycline 500 mg (Stada - Lot 792),Viên nang,274330
T00144,Metformin 250 mg (Viên nén - Lot 453),Metformin 250 mg (Vien nen - Lot 453),Hộp,178670
T00145,Giảm Đau 500 mg (Domesco - Lot 573),Giam Dau 500 mg (Domesco - Lot 573),Tuýp,171870
T00146,Fluconazole 100 mg (Stada - Lot 910),Fluconazole 100 mg (Stada - Lot 910),Viên nang,7200
T00147,Atorvastatin 5 mg (Domesco - Lot 418),Atorvastatin 5 mg (Domesco - Lot 418),Viên nén,323990
T00148,Paracetamol 10 mg (Domesco - Lot 536),Paracetamol 10 mg (Domesco - Lot 536),Viên nén,79970
T00149,Metformin 10 mg (Stada - Lot 384),Metformin 10 mg (Stada - Lot 384),Hộp,27020
T00150,Ibuprofen 500 mg (Stada - Lot 941),Ibuprofen 500 mg (Stada - Lot 941),Viên nang,81070
T00151,Doxycycline 5 mg (Mekophar - Lot 401),Doxycycline 5 mg (Mekophar - Lot 401),Gói,307800
T00152,Giảm Đau 10 mg (Viên nén - Lot 573),Giam Dau 10 mg (Vien nen - Lot 573),Gói,146960
T00153,Captopril 10 mg (Stada - Lot 258),Captopril 10 mg (Stada - Lot 258),Chai,494790
T00154,Captopril 250 mg (Domesco - Lot 110),Captopril 250 mg (Domesco - Lot 110),Gói,129350
T00155,Metformin 10 mg (Domesco - Lot 152),Metformin 10 mg (Domesco - Lot 152),Gói,440940
T00156,Aspirin 10 mg (Viên nén - Lot 922),Aspirin 10 mg (Vien nen - Lot 922),Viên nang,164340
T00157,Furosemide 1000 IU (Viên nén - Lot 689),Furosemide 1000 IU (Vien nen - Lot 689),Viên nén,159680
T00158,Amoxicillin 10 mg (Mekophar - Lot 596),Amoxicillin 10 mg (Mekophar - Lot 596),Chai,308050
T00159,Captopril 10 mg (Stada - Lot 757),Captopril 10 mg (Stada - Lot 757),Viên nén,148180
T00160,Hạ Sốt 1000 IU (Stada - Lot 424),Ha Sot 1000 IU (Stada - Lot 424),Viên nang,18380
T00161,Captopril 5 ml (Domesco - Lot 712),Captopril 5 ml (Domesco - Lot 712),Ống tiêm,428450
T00162,Captopril 500 mg (Mekophar - Lot 615),Captopril 500 mg (Mekophar - Lot 615),Gói,250390
T00163,Furosemide 100 mg (Stada - Lot 625),Furosemide 100 mg (Stada - Lot 625),Viên nang,40190
T00164,Diazepam 100 mg (Viên nén - Lot 274),Diazepam 100 mg (Vien nen - Lot 274),Gói,447930
T00165,Loratadine 100 mg (Mekophar - Lot 173),Loratadine 100 mg (Mekophar - Lot 173),Viên nang,209060
T00166,Omeprazole 500 mg (Stada - Lot 210),Omeprazole 500 mg (Stada - Lot 210),Viên nang,496950
T00167,Aspirin 100 mg (Domesco - Lot 829),Aspirin 100 mg (Domesco - Lot 829),Tuýp,395720
T00168,Fluconazole 5 ml (Stada - Lot 884),Fluconazole 5 ml (Stada - Lot 884),Gói,28580
T00169,Vitamin C 1000 IU (Domesco - Lot 837),Vitamin C 1000 IU (Domesco - Lot 837),Gói,422550
T00170,Prednisolone 1000 IU (Domesco - Lot 529),Prednisolone 1000 IU (Domesco - Lot 529),Tuýp,462790
T00171,Loratadine 5 ml (Mekophar - Lot 964),Loratadine 5 ml (Mekophar - Lot 964),Viên nang,176270
T00172,Captopril 5 mg (Domesco - Lot 168),Captopril 5 mg (Domesco - Lot 168),Hộp,207140
T00173,Atorvastatin 100 mg (Stada - Lot 607),Atorvastatin 100 mg (Stada - Lot 607),Viên nang,147440
T00174,Losartan 5 ml (Stada - Lot 353),Losartan 5 ml (Stada - Lot 353),Tuýp,398130
T00175,Metformin 5 mg (Stada - Lot 420),Metformin 5 mg (Stada - Lot 420),Hộp,340250
T00176,Chống Viêm 1000 IU (Stada - Lot 144),Chong Viem 1000 IU (Stada - Lot 144),Viên nang,135050
T00177,Vitamin C 1000 IU (Stada - Lot 373),Vitamin C 1000 IU (Stada - Lot 373),Viên nén,334980
T00178,Prednisolone 100 mg (Viên nén - Lot 843),Prednisolone 100 mg (Vien nen - Lot 843),Hộp,170120
T00179,Fluconazole 100 mg (Mekophar - Lot 309),Fluconazole 100 mg (Mekophar - Lot 309),Gói,99460
T00180,Furosemide 5 mg (Mekophar - Lot 644),Furosemide 5 mg (Mekophar - Lot 644),Gói,353050
T00181,Amoxicillin 10 mg (Viên nén - Lot 323),Amoxicillin 10 mg (Vien nen - Lot 323),Viên nén,398100
T00182,Metformin 1000 IU (Domesco - Lot 927),Metformin 1000 IU (Domesco - Lot 927),Viên nang,141230
T00183,Prednisolone 10 mg (Mekophar - Lot 752),Prednisolone 10 mg (Mekophar - Lot 752),Gói,112030
T00184,Cefuroxim 250 mg (Stada - Lot 503),Cefuroxim 250 mg (Stada - Lot 503),Tuýp,95580
T00185,Fluconazole 500 mg (Mekophar - Lot 727),Fluconazole 500 mg (Mekophar - Lot 727),Chai,335940
T00186,Cefuroxim 100 mg (Stada - Lot 306),Cefuroxim 100 mg (Stada - Lot 306),Chai,77390
T00187,Giảm Đau 1000 IU (Domesco - Lot 766),Giam Dau 1000 IU (Domesco - Lot 766),Hộp,229280
T00188,Losartan 100 mg (Mekophar - Lot 943),Losartan 100 mg (Mekophar - Lot 943),Viên nén,131070
T00189,Chống Viêm 10 mg (Viên nén - Lot 233),Chong Viem 10 mg (Vien nen - Lot 233),Tuýp,369910
T00190,Metformin 1000 IU (Mekophar - Lot 614),Metformin 1000 IU (Mekophar - Lot 614),Ống tiêm,362930
T00191,Captopril 250 mg (Viên nén - Lot 545),Captopril 250 mg (Vien nen - Lot 545),Chai,445030
T00192,Vitamin C 1000 IU (Mekophar - Lot 205),Vitamin C 1000 IU (Mekophar - Lot 205),Tuýp,465010
T00193,Diclofenac 5 mg (Mekophar - Lot 344),Diclofenac 5 mg (Mekophar - Lot 344),Chai,57260
T00194,Captopril 500 mg (Stada - Lot 979),Captopril 500 mg (Stada - Lot 979),Viên nén,26360
T00195,Cefuroxim 500 mg (Domesco - Lot 755),Cefuroxim 500 mg (Domesco - Lot 755),Viên nang,365070
T00196,Pantoprazole 250 mg (Mekophar - Lot 463),Pantoprazole 250 mg (Mekophar - Lot 463),Chai,440210
T00197,Giảm Đau 1000 IU (Viên nén - Lot 741),Giam Dau 1000 IU (Vien nen - Lot 741),Viên nang,97990
T00198,Levothyroxine 1000 IU (Viên nén - Lot 254),Levothyroxine 1000 IU (Vien nen - Lot 254),Tuýp,51100
T00199,Giảm Đau 5 ml (Viên nén - Lot 698),Giam Dau 5 ml (Vien nen - Lot 698),Tuýp,22360
T00200,Loratadine 500 mg (Domesco - Lot 548),Loratadine 500 mg (Domesco - Lot 548),Hộp,475010
T00201,Ibuprofen 5 ml (Domesco - Lot 106),Ibuprofen 5 ml (Domesco - Lot 106),Tuýp,357000
T00202,Vitamin C 250 mg (Viên nén - Lot 895),Vitamin C 250 mg (Vien nen - Lot 895),Gói,464490
T00203,Chống Viêm 10 mg (Viên nén - Lot 182),Chong Viem 10 mg (Vien nen - Lot 182),Viên nang,272050
T00204,Pantoprazole 500 mg (Viên nén - Lot 869),Pantoprazole 500 mg (Vien nen - Lot 869),Tuýp,447170
T00205,Vitamin C 5 ml (Domesco - Lot 180),Vitamin C 5 ml (Domesco - Lot 180),Viên nang,51910
T00206,Diclofenac 5 mg (Viên nén - Lot 597),Diclofenac 5 mg (Vien nen - Lot 597),Ống tiêm,473470
T00207,Vitamin C 1000 IU (Stada - Lot 175),Vitamin C 1000 IU (Stada - Lot 175),Viên nang,457210
T00208,Pantoprazole 250 mg (Viên nén - Lot 922),Pantoprazole 250 mg (Vien nen - Lot 922),Viên nén,276580
T00209,Amoxicillin 5 ml (Stada - Lot 781),Amoxicillin 5 ml (Stada - Lot 781),Hộp,46300
T00210,Chống Viêm 5 ml (Mekophar - Lot 722),Chong Viem 5 ml (Mekophar - Lot 722),Viên nén,72400
T00211,Diazepam 100 mg (Stada - Lot 592),Diazepam 100 mg (Stada - Lot 592),Hộp,370300
T00212,Levothyroxine 1000 IU (Stada - Lot 599),Levothyroxine 1000 IU (Stada - Lot 599),Hộp,15060
T00213,Loratadine 100 mg (Stada - Lot 777),Loratadine 100 mg (Stada - Lot 777),Chai,350540
T00214,Prednisolone 5 mg (Viên nén - Lot 390),Prednisolone 5 mg (Vien nen - Lot 390),Tuýp,411090
T00215,Paracetamol 10 mg (Domesco - Lot 290),Paracetamol 10 mg (Domesco - Lot 290),Gói,438470
T00216,Diazepam 500 mg (Mekophar - Lot 193),Diazepam 500 mg (Mekophar - Lot 193),Viên nén,414730
T00217,Omeprazole 500 mg (Mekophar - Lot 631),Omeprazole 500 mg (Mekophar - Lot 631),Tuýp,78260
T00218,Fluconazole 100 mg (Domesco - Lot 220),Fluconazole 100 mg (Domesco - Lot 220),Hộp,479750
T00219,Fluconazole 10 mg (Domesco - Lot 191),Fluconazole 10 mg (Domesco - Lot 191),Ống tiêm,295360
T00220,Atorvastatin 1000 IU (Mekophar - Lot 214),Atorvastatin 1000 IU (Mekophar - Lot 214),Chai,236700
T00221,Paracetamol 1000 IU (Stada - Lot 725),Paracetamol 1000 IU (Stada - Lot 725),Tuýp,253040
T00222,Ibuprofen 10 mg (Mekophar - Lot 152),Ibuprofen 10 mg (Mekophar - Lot 152),Chai,340620
T00223,Furosemide 10 mg (Mekophar - Lot 427),Furosemide 10 mg (Mekophar - Lot 427),Tuýp,72100
T00224,Diazepam 5 mg (Mekophar - Lot 998),Diazepam 5 mg (Mekophar - Lot 998),Chai,6710
T00225,Prednisolone 5 mg (Stada - Lot 592),Prednisolone 5 mg (Stada - Lot 592),Viên nén,149130
T00226,Ibuprofen 500 mg (Viên nén - Lot 140),Ibuprofen 500 mg (Vien nen - Lot 140),Gói,172150
T00227,Metformin 5 ml (Stada - Lot 190),Metformin 5 ml (Stada - Lot 190),Viên nang,350780
T00228,Vitamin C 250 mg (Domesco - Lot 676),Vitamin C 250 mg (Domesco - Lot 676),Chai,226730
T00229,Captopril 250 mg (Mekophar - Lot 273),Captopril 250 mg (Mekophar - Lot 273),Viên nang,288250
T00230,Doxycycline 500 mg (Viên nén - Lot 414),Doxycycline 500 mg (Vien nen - Lot 414),Hộp,364160
T00231,Amoxicillin 100 mg (Domesco - Lot 241),Amoxicillin 100 mg (Domesco - Lot 241),Ống tiêm,37060
T00232,Paracetamol 5 ml (Stada - Lot 921),Paracetamol 5 ml (Stada - Lot 921),Gói,128290
T00233,Aspirin 1000 IU (Mekophar - Lot 721),Aspirin 1000 IU (Mekophar - Lot 721),Hộp,394870
T00234,Aspirin 5 mg (Viên nén - Lot 300),Aspirin 5 mg (Vien nen - Lot 300),Viên nén,427600
T00235,Levothyroxine 5 ml (Viên nén - Lot 474),Levothyroxine 5 ml (Vien nen - Lot 474),Viên nén,473510
T00236,Chống Viêm 5 mg (Mekophar - Lot 781),Chong Viem 5 mg (Mekophar - Lot 781),Gói,371580
